,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh),Longitude,Latitude
123,2001,Estonia,Gas,0.599,7.06118118590121,0.503355704697994,0.003,25.0136,58.5953
124,2001,Estonia,Other fossil,7.8660000000000005,92.72662973004829,-0.41777440182302295,-0.0330000000000003,25.0136,58.5953
125,2001,Estonia,Nuclear,0.0,0.0,,0.0,25.0136,58.5953
126,2001,Estonia,Renewables,0.018000000000000002,0.212189084050453,-1.3698630136986298,-0.00025,25.0136,58.5953
127,2001,Estonia,Hydro,0.006999999999999999,0.082517977130732,39.9999999999999,0.002,25.0136,58.5953
128,2001,Estonia,Wind and solar,0.0,0.0,,0.0,25.0136,58.5953
129,2001,Estonia,Wind,0.0,0.0,,0.0,25.0136,58.5953
130,2001,Estonia,Solar,0.0,0.0,,0.0,25.0136,58.5953
131,2001,Estonia,Bioenergy,0.011000000000000001,0.129671106919721,-16.9811320754717,-0.00225,25.0136,58.5953
132,2001,Estonia,Other renewables,0.0,0.0,,0.0,25.0136,58.5953
133,2001,Estonia,Production,8.48299999999999,,-0.355328458579284,-0.0302500000000005,25.0136,58.5953
134,2001,Estonia,Net imports,-0.622,,-33.0462863293864,0.30699999999999894,25.0136,58.5953
135,2001,Estonia,Demand,7.861000000000001,,3.6490094603949,0.27674999999999894,25.0136,58.5953
170,2001,Finland,Fossil,29.98582,40.3537537930111,25.3205229741322,6.0585179999999905,25.7482,61.9241
171,2001,Finland,Coal,10.614,14.2839096199143,25.0618593142453,2.127,25.7482,61.9241
172,2001,Finland,Hard Coal,10.614,14.2839096199143,25.0618593142453,2.127,25.7482,61.9241
173,2001,Finland,Lignite,0.0,0.0,,0.0,25.7482,61.9241
174,2001,Finland,Gas,11.69,15.7319486957602,15.3884118053499,1.55899999999999,25.7482,61.9241
175,2001,Finland,Other fossil,7.68182,10.337895477336499,44.686062311015604,2.372518,25.7482,61.9241
176,2001,Finland,Nuclear,22.773000000000003,30.647020329217,1.30788736153744,0.294,25.7482,61.9241
177,2001,Finland,Renewables,21.548567000000002,28.999225877771696,-7.82781655754336,-1.83003399999999,25.7482,61.9241
178,2001,Finland,Hydro,13.205,17.7707769484613,-9.924965893588,-1.455,25.7482,61.9241
179,2001,Finland,Wind and solar,0.071715,0.0965112661006368,-9.878606615059802,-0.007860999999999991,25.7482,61.9241
180,2001,Finland,Wind,0.07,0.0942032856033546,-10.256410256410199,-0.00799999999999999,25.7482,61.9241
181,2001,Finland,Solar,0.001715,0.00230798049728218,8.819796954314711,0.000138999999999999,25.7482,61.9241
