,Year,Area,Total Generation (TWh)
6136,2016,Slovenia,31.734637999999975
6149,2016,Spain,520.19217
6162,2016,Sweden,248.9432759999999
6175,2016,United Kingdom,628.5834339999998
6188,2017,Austria,136.61853399999998
6201,2017,Belgium,128.0363
6214,2017,Bulgaria,95.19647399999997
6227,2017,Croatia,24.933499999999984
6240,2017,Cyprus,10.00873
6253,2017,Czech Republic,184.65701099999978
6266,2017,Denmark,68.29199599999997
6279,2017,Estonia,25.852583999999982
6292,2017,Finland,117.62733199999998
6305,2017,France,726.6127099999999
6318,2017,Germany,1460.8000000000004
6331,2017,Greece,129.14265999999998
6344,2017,Hungary,54.43999999999988
6357,2017,Ireland,64.98318399999981
6370,2017,Italy,619.2911919999998
6383,2017,Latvia,15.062585000000002
6396,2017,Lithuania,6.716137999999979
6409,2017,Luxembourg,1.7976460000000005
6422,2017,Malta,3.3034899999999983
6435,2017,Netherlands,262.14720300000005
6448,2017,Poland,471.0170009999999
6461,2017,Portugal,130.060162
6474,2017,Romania,133.1457719999999
6487,2017,Slovakia,42.47799999999998
6500,2017,Slovenia,30.636198999999998
6513,2017,Spain,532.862
6526,2017,Sweden,263.07599999999996
6539,2017,United Kingdom,618.6569909999989
6552,2018,Austria,131.817309
6565,2018,Belgium,118.65569999999997
6578,2018,Bulgaria,95.61268399999967
6591,2018,Croatia,28.548
6604,2018,Cyprus,10.121134000000001
6617,2018,Czech Republic,184.99292099999997
6630,2018,Denmark,67.323588
6643,2018,Estonia,24.719603999999997
6656,2018,Finland,122.9622559999999
6669,2018,France,747.4115559999989
6682,2018,Germany,1427.0000000000002
6695,2018,Greece,123.67781899999977
6708,2018,Hungary,52.66599999999999
6721,2018,Ireland,63.94410799999988
6734,2018,Italy,603.2272479999988
6747,2018,Latvia,13.449913
6760,2018,Lithuania,5.501599999999989
6773,2018,Luxembourg,1.913865999999999
6786,2018,Malta,3.924141999999979
6799,2018,Netherlands,252.68515900000003
6812,2018,Poland,469.55725799999885
6825,2018,Portugal,128.80870600000003
6838,2018,Romania,133.1547929999999
6851,2018,Slovakia,41.300000000000004
6864,2018,Slovenia,31.11737899999999
6877,2018,Spain,525.3529999999989
6890,2018,Sweden,258.504
6903,2018,United Kingdom,608.2558969999988
6916,2019,Austria,144.88466529599998
6929,2019,Belgium,138.2814425
6942,2019,Bulgaria,88.44160167999969
6955,2019,Croatia,26.743186000000005
6968,2019,Cyprus,9.816907277999999
6981,2019,Czech Republic,178.23462587599997
6994,2019,Denmark,63.74272836399989
7007,2019,Estonia,16.08834628
7020,2019,Finland,115.59462081099991
7033,2019,France,735.4115559999989
7046,2019,Germany,1304.2
7059,2019,Greece,112.23194177599972
7072,2019,Hungary,55.34176883699996
7085,2019,Ireland,62.121525661999776
7098,2019,Italy,599.9730136929987
7111,2019,Latvia,12.771780596
7124,2019,Lithuania,6.2114507319999985
