,Year,Area,Variable,Share of production (%),Change on last year (%)
621,2001,Netherlands,Solar,0.0124639529880759,51.535658511192
622,2001,Netherlands,Bioenergy,2.5131842108347597,17.8719853644773
623,2001,Netherlands,Other renewables,0.0,
630,2001,Poland,Nuclear,0.0,
631,2001,Poland,Renewables,1.93639735547263,19.3396226415094
632,2001,Poland,Hydro,1.6177232667890302,10.398860398860402
633,2001,Poland,Wind,0.00974112934840709,179.999999999999
634,2001,Poland,Solar,0.0,
635,2001,Poland,Bioenergy,0.30893295933519604,100.904977375565
636,2001,Poland,Other renewables,0.0,
643,2001,Portugal,Nuclear,0.0,
644,2001,Portugal,Renewables,34.0950441864494,22.326701896176502
645,2001,Portugal,Hydro,30.3976780453994,23.9424180870793
646,2001,Portugal,Wind,0.554496621036215,52.3809523809523
647,2001,Portugal,Solar,0.00216600242592271,0.0
648,2001,Portugal,Bioenergy,2.91327326286605,3.78086419753085
649,2001,Portugal,Other renewables,0.22743025472188502,31.25
656,2001,Romania,Nuclear,10.1716441605498,-0.18328445747801603
657,2001,Romania,Renewables,27.872098018341,0.981188252808218
658,2001,Romania,Hydro,27.872098018341,0.981188252808218
659,2001,Romania,Wind,0.0,
660,2001,Romania,Solar,0.0,
661,2001,Romania,Bioenergy,0.0,
662,2001,Romania,Other renewables,0.0,
669,2001,Slovakia,Nuclear,53.721526303225204,3.69225172790106
670,2001,Slovakia,Renewables,15.9609754871781,10.1061755146262
671,2001,Slovakia,Hydro,15.4759960297018,6.7605633802817
672,2001,Slovakia,Wind,0.0,
673,2001,Slovakia,Solar,0.0,
674,2001,Slovakia,Bioenergy,0.484979457476347,inf
675,2001,Slovakia,Other renewables,0.0,
682,2001,Slovenia,Nuclear,36.3412334672274,10.417979416088999
683,2001,Slovenia,Renewables,26.736847577387,-0.942232339450543
684,2001,Slovenia,Hydro,26.2396425410741,-1.01657982419061
685,2001,Slovenia,Wind,0.0,
686,2001,Slovenia,Solar,0.0,
687,2001,Slovenia,Bioenergy,0.49720503631289,3.14642191309335
688,2001,Slovenia,Other renewables,0.0,
695,2001,Spain,Nuclear,27.335450098687,2.41455808121402
696,2001,Spain,Renewables,21.1512056981034,42.9254856480139
697,2001,Spain,Hydro,17.5439800909637,44.7055492638731
698,2001,Spain,Wind,2.9001115592551203,42.9870954093505
699,2001,Spain,Solar,0.0072942589891015095,21.4285714285714
700,2001,Spain,Bioenergy,0.6998197888955631,9.24313462826522
701,2001,Spain,Other renewables,0.0,
708,2001,Sweden,Nuclear,44.623419436645605,25.8095470723707
709,2001,Sweden,Renewables,51.5614759186232,0.216622678033684
710,2001,Sweden,Hydro,48.9249267173473,0.605721266415537
711,2001,Sweden,Wind,0.298277443432348,5.47045951859954
712,2001,Sweden,Solar,0.0009400071298210301,7.12270803949224
713,2001,Sweden,Bioenergy,2.33733175071364,-7.833089311859441
714,2001,Sweden,Other renewables,0.0,
721,2001,United Kingdom,Nuclear,23.562126179691802,5.91443988573174
722,2001,United Kingdom,Renewables,2.49724852666098,-4.22591775325977
723,2001,United Kingdom,Hydro,1.06068247836827,-20.2573928430987
724,2001,United Kingdom,Wind,0.25239725293864196,1.9098204857444598
725,2001,United Kingdom,Solar,0.000475981415488702,82.0
726,2001,United Kingdom,Bioenergy,1.18368679878882,14.9908028455284
727,2001,United Kingdom,Other renewables,6.015149756175901e-06,inf
734,2002,Austria,Nuclear,0.0,
735,2002,Austria,Renewables,69.03466645856591,-0.7981043160806159
736,2002,Austria,Hydro,66.2841392462403,-0.5648812423239661
737,2002,Austria,Wind,0.230386138590531,33.6091813429912
738,2002,Austria,Solar,0.0148776012053806,69.2091454272863
739,2002,Austria,Bioenergy,2.50037787195663,-9.01594424311614
740,2002,Austria,Other renewables,0.0048856005730372794,inf
747,2002,Belgium,Nuclear,58.5132012997442,2.1812768344516598
