,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
312,442,2000,Slovenia,Fossil,4.959,36.397796872696,,
313,443,2000,Slovenia,Coal,4.611000000000001,33.843565513208496,,
314,444,2000,Slovenia,Hard Coal,0.307,2.25330180276621,,
315,445,2000,Slovenia,Lignite,4.303999999999999,31.5902637104423,,
316,446,2000,Slovenia,Gas,0.293,2.15054536876384,,
317,447,2000,Slovenia,Other fossil,0.055,0.40368599072358896,,
318,448,2000,Slovenia,Nuclear,4.761,34.944527306091,,
320,450,2000,Slovenia,Hydro,3.834721,28.145875382428198,,
321,452,2000,Slovenia,Wind,0.0,0.0,,
322,453,2000,Slovenia,Solar,0.0,0.0,,
323,454,2000,Slovenia,Bioenergy,0.06973,0.5118004387846521,,
324,455,2000,Slovenia,Other renewables,0.0,0.0,,
325,459,2000,Spain,Fossil,124.221,56.229715232417604,,
326,460,2000,Spain,Coal,79.094,35.80258649175929,,
327,461,2000,Spain,Hard Coal,72.884,32.9915760217638,,
328,462,2000,Spain,Lignite,6.21,2.81101046999551,,
329,463,2000,Spain,Gas,20.178,9.13374706337674,,
330,464,2000,Spain,Other fossil,24.949,11.293381677281499,,
331,465,2000,Spain,Nuclear,62.206,28.158086521182103,,
333,467,2000,Spain,Hydro,28.256,12.790323967825,,
334,469,2000,Spain,Wind,4.727,2.13971763150866,,
335,470,2000,Spain,Solar,0.013999999999999999,0.00633722167148748,,
336,471,2000,Spain,Bioenergy,1.493,0.675819425395057,,
337,472,2000,Spain,Other renewables,0.0,0.0,,
338,476,2000,Sweden,Fossil,4.774999999999991,3.28785607532937,,
339,477,2000,Sweden,Coal,1.636,1.12647801868876,,
340,478,2000,Sweden,Hard Coal,1.636,1.12647801868876,,
341,479,2000,Sweden,Lignite,0.0,0.0,,
342,480,2000,Sweden,Gas,0.484,0.333261223132862,,
343,481,2000,Sweden,Other fossil,2.655,1.8281168335077398,,
344,482,2000,Sweden,Nuclear,57.316,39.465289803890705,,
346,484,2000,Sweden,Hydro,78.584,54.109504046844705,,
347,486,2000,Sweden,Wind,0.457,0.31467020448702004,,
348,487,2000,Sweden,Solar,0.001418,0.000976372757029749,,
349,488,2000,Sweden,Bioenergy,4.098,2.82170349669105,,
350,489,2000,Sweden,Other renewables,0.0,0.0,,
351,493,2000,United Kingdom,Fossil,279.342,74.61555926544241,,
352,494,2000,United Kingdom,Coal,119.95,32.0400667779632,,
353,495,2000,United Kingdom,Hard Coal,119.95,32.0400667779632,,
354,496,2000,United Kingdom,Lignite,0.0,0.0,,
355,497,2000,United Kingdom,Gas,148.077,39.5531218697829,,
356,498,2000,United Kingdom,Other fossil,11.315,3.02237061769616,,
357,499,2000,United Kingdom,Nuclear,85.06299999999999,22.7213355592654,,
359,501,2000,United Kingdom,Hydro,5.086,1.3585308848080098,,
360,503,2000,United Kingdom,Wind,0.9470000000000001,0.25295492487479104,,
361,504,2000,United Kingdom,Solar,0.001,0.00026711185308847995,,
362,505,2000,United Kingdom,Bioenergy,3.9360000000000004,1.05135225375626,,
363,506,2000,United Kingdom,Other renewables,0.0,0.0,,
364,510,2001,Austria,Fossil,18.819009,30.824451727463998,14.6182508784562,2.40015
365,511,2001,Austria,Coal,6.893,11.2903365824103,20.3596996682381,1.166
366,512,2001,Austria,Hard Coal,5.2989999999999995,8.67945648486762,19.4813979706877,0.8640000000000001
367,513,2001,Austria,Lignite,1.594,2.61088009754274,23.3746130030959,0.302
368,514,2001,Austria,Gas,8.746,14.3254437472451,11.399821678767,0.895
369,515,2001,Austria,Other fossil,3.180009,5.20867139780853,11.938290495938,0.33915
370,516,2001,Austria,Nuclear,0.0,0.0,,0.0
372,518,2001,Austria,Hydro,40.455405999999996,66.2636225617385,-3.2985165273618198,-1.37994599999999
373,520,2001,Austria,Wind,0.104647,0.171405752551791,56.7651376696527,0.0378929999999999
374,521,2001,Austria,Solar,0.005336,0.00874006035162363,65.2524001238773,0.002107
375,522,2001,Austria,Bioenergy,1.6678119999999999,2.7317798978939503,9.13007376270955,0.139533
376,523,2001,Austria,Other renewables,0.0,0.0,,0.0
377,527,2001,Belgium,Fossil,31.194000000000003,39.677936350454104,-7.08328368878828,-2.378
378,528,2001,Belgium,Coal,9.936,12.6383271006639,-23.0721585630226,-2.98
379,529,2001,Belgium,Hard Coal,9.936,12.6383271006639,-23.0721585630226,-2.98
