,Year,Area,Share_sum(%),Change_sum(%)
2099,2005,Portugal,17.880805427275057,58.34801117552014
2112,2005,Romania,43.37105566652996,inf
2125,2005,Slovakia,71.50197880760871,77.23918368750233
2138,2005,Slovenia,62.57281770163352,1636.4819824623778
2151,2005,Spain,35.08735026147183,66.26396537065246
2164,2005,Sweden,96.9971848659423,34.91845015249996
2177,2005,United Kingdom,24.92375319062919,167.2967988151622
2190,2006,Austria,65.63943673556258,100.10733566584976
2203,2006,Belgium,58.98022637786668,145.23179986063917
2216,2006,Bulgaria,52.17144940078631,339.5775344097966
2229,2006,Croatia,51.435425210864295,62.623024051493886
2242,2006,Cyprus,0.03249857281399807,inf
2255,2006,Czech Republic,35.34219419139185,213.10800780322165
2268,2006,Denmark,20.172765341693847,-10.95960959528588
2281,2006,Estonia,1.333761620025238,15.873104441716897
2294,2006,Finland,55.29586298990274,15.515608969674696
2307,2006,France,90.00724659893702,147.20374053625773
2320,2006,Germany,37.863005050504995,115.08720349917931
2333,2006,Greece,12.76129881177731,90.42017896102499
2346,2006,Hungary,41.703893438337005,295.0434426927344
2359,2006,Ireland,9.126604551960154,59.20920910708918
2372,2006,Italy,16.511309667615055,55.30842838520398
2385,2006,Latvia,56.97156689316716,-18.390219822631686
2398,2006,Lithuania,76.48276819870959,918.1709388630761
2411,2006,Luxembourg,6.963050148656624,69.65730698553651
2424,2006,Malta,0.0,0.0
2437,2006,Netherlands,11.672435283608394,41.110042808456036
2450,2006,Poland,2.674391537644365,113.68771010512246
2463,2006,Portugal,32.36684799799202,279.17731466174723
2476,2006,Romania,38.26693031629144,111.37394343828376
2489,2006,Slovakia,73.12292681006949,1141.1858838162725
2502,2006,Slovenia,61.20021787567768,303.56630336659316
2515,2006,Spain,38.027961948305595,220.67896749723957
2528,2006,Sweden,96.34394428265264,8.41241116203118
2541,2006,United Kingdom,23.779867158122112,-19.325466966762903
2554,2007,Austria,68.62088126142255,32.64664179189549
2567,2007,Belgium,59.247598247091204,335.7065029092182
2580,2007,Bulgaria,40.8454243354039,inf
2593,2007,Croatia,37.80144614427958,18.346718941280102
2606,2007,Cyprus,0.0725643970534954,901.0488700019312
2619,2007,Czech Republic,33.70804152028726,425.11995937628393
2632,2007,Denmark,26.210703021670493,40.31593867310722
2645,2007,Estonia,1.194038665984169,63.01515523357661
2658,2007,Finland,59.000936481179835,51.498522522675316
2671,2007,France,89.68250601558344,142.95137267940675
2684,2007,Germany,36.23325453112682,89.979417686013
2697,2007,Greece,7.3269128341023615,14.84737598630371
2710,2007,Hungary,41.440068297019195,inf
2723,2007,Ireland,10.03643843705339,45.13897775206453
2736,2007,Italy,15.532117609152971,39.50100263845664
2749,2007,Latvia,59.27352179442994,13.368856103352428
2762,2007,Lithuania,78.66298244979322,812.4960520269248
2775,2007,Luxembourg,8.268054530731728,28.19240439821759
2788,2007,Malta,0.0,0.0
2801,2007,Netherlands,11.222790215547763,27.875240551643948
2814,2007,Poland,3.4252211285093015,147.10587233857788
2827,2007,Portugal,34.58265060590369,574.8747540702375
2840,2007,Romania,38.4500466756514,1086.171950245696
2853,2007,Slovakia,72.7955174023921,38.64914601310501
2866,2007,Slovenia,60.32216181664147,198.32789482856762
2879,2007,Spain,37.6069174977651,331.92123896427404
2892,2007,Sweden,97.02591529120004,98.93678894947979
2905,2007,United Kingdom,21.04943066499354,290.32347256382434
2918,2008,Austria,69.04327029954378,-4.0683177409199125
2931,2008,Belgium,59.979933412731356,640.7795949552075
2944,2008,Bulgaria,41.96241902217682,inf
2957,2008,Croatia,45.7042253521126,238.73917575715853
2970,2008,Cyprus,0.2845356358731494,749.6482799674679
2983,2008,Czech Republic,36.35579596062558,623.3691007865477
2996,2008,Denmark,27.572645837885005,40.59607145270313
3009,2008,Estonia,1.871092597910841,86.0673239323713
3022,2008,Finland,65.89909727004253,64.99877287709357
3035,2008,France,90.22959713123446,193.4318457089317
3048,2008,Germany,38.237608182533364,60.11273270852018
3061,2008,Greece,9.14102167950345,323.86994406454676
3074,2008,Hungary,42.90973920337072,196.01811215349773
3087,2008,Ireland,11.994340304111175,91.1988032327401
3100,2008,Italy,18.612005046910568,455.32915256383467
3113,2008,Latvia,60.90934494147587,33.23260254856936
3126,2008,Lithuania,80.18956137335762,45.28887969356258
3139,2008,Luxembourg,10.365818516866629,14.432776865195422
3152,2008,Malta,0.0,0.0
3165,2008,Netherlands,12.755371721677355,52.164762324232164
3178,2008,Poland,4.272548119824635,93.51517836591066
3191,2008,Portugal,32.19675120587184,73.62321434570089
3204,2008,Romania,43.79941307596105,inf
3217,2008,Slovakia,74.04368293225384,-3.7492852313688907
3230,2008,Slovenia,64.51947030918788,258.57169185067335
3243,2008,Spain,38.985217118041284,424.79492445667535
3256,2008,Sweden,96.93252263084716,72.43844806750076
3269,2008,United Kingdom,19.315723065890843,155.35207844151338
3282,2009,Austria,71.15930608231176,62.59625318849061
3295,2009,Belgium,58.69423889567706,359.8500578528932
3308,2009,Bulgaria,44.73554830571874,1918.2520703848343
3321,2009,Croatia,56.004868036668945,inf
3334,2009,Cyprus,0.5888728573105146,179.8898750877573
3347,2009,Czech Republic,39.03786582732309,654.2545193878924
3360,2009,Denmark,27.658521837121636,9.156691411474053
3373,2009,Estonia,6.155164086066571,814.8537757595119
3386,2009,Finland,63.01476187154152,-23.80915600704777
3399,2009,France,90.33031400346624,339.36010346795376
3412,2009,Germany,39.06298122645691,39.29827251143551
3425,2009,Greece,13.397428740540253,944.3112006119059
3438,2009,Hungary,51.02120793923022,111.49303647899978
3451,2009,Ireland,14.696731230514942,inf
3464,2009,Italy,24.082300527957635,326.61755214805845
3477,2009,Latvia,63.8474177843046,2.8619933378554085
3490,2009,Lithuania,80.26708184652239,83.97566707768844
3503,2009,Luxembourg,8.497891963569197,-1.449691541932852
